,Concept,Occurence,Frequency,Mean,Median,Sdev
0,luminous spheroid,[0],1,0.0,0.0,0.0
1,astronomical object consisting,[0],1,0.0,0.0,0.0
2,star,"[  0   5   6   7   8   9  10  11  13  14  16  17  18  21  25  26  28  29
  36  43  45  50  51  52  54  55  56  57  59  61  62  65  67  73  75  77
  81  82  83  84  85  88  90  91  95 100 104 107 108 109 111 112 126 129
 130 132 140 141 145 150 151 152 161 162 166 167 173 175 176 177 180 187
 188 189 190 192 196 202 206 211 212 214 219 223 225 226 227 233 235 236
 238 244 245 249 251 256 259 260 261 263 264 267 268 269 270 273 274 277
 279 280 281 283 288 290 291 293 296 297 299 302 303 312 315 316 318 319
 322 328 332 333 335 337 341 342 343 345 346 347 349 350 351 353 355 356
 358 361 366 367 368 376 379 381 382 393 395 399 403 409 420 421 423 430
 436 437 439 442 444 448 453 454 459 460 467 470 472 479 486]",177,0.4606079511975321,0.48057259713701433,0.28203121176566626
3,own gravity,[ 0 17],2,0.017382413087934562,0.017382413087934562,0.017382413087934562
4,earth,[  1   2   5  31  88  95 121 204 239 268 269 367 368 382 388 392 398],17,0.4352219415373511,0.4887525562372188,0.3073399288333785
5,sun,"[  1  19  29  30  31  50  51  61 103 116 121 153 158 163 239 264 265 267
 268 269 270 275 276 277 278 283 284 298 300 301 312 323 339 362 385 388
 389 395 412 454 455 464 469 471 477 487]",46,0.5371210100471238,0.565439672801636,0.29108280722091545
6,near star,[  1 239],2,0.24539877300613497,0.24539877300613497,0.24335378323108384
7,naked eye,[  2   5 378],3,0.2624403544648944,0.010224948875255624,0.3610332132724348
8,immense distance,[2],1,0.00408997955010225,0.00408997955010225,0.0
9,other star,[  2 147],2,0.1523517382413088,0.1523517382413088,0.14826175869120656
10,sky,[  2  55  57 107],4,0.11298568507157464,0.11451942740286299,0.07594563138952783
11,night,[2],1,0.00408997955010225,0.00408997955010225,0.0
12,multitude,[ 2 47],2,0.050102249488752554,0.050102249488752554,0.046012269938650305
13,luminous point,[2],1,0.00408997955010225,0.00408997955010225,0.0
14,constellation,[  3  29  38  99 107 108],6,0.130879345603272,0.14008179959100203,0.08608411116502734
15,proper name,[  3 111],2,0.1165644171779141,0.1165644171779141,0.11042944785276074
16,asterism,[3],1,0.006134969325153374,0.006134969325153374,0.0
17,most prominent star,[3],1,0.006134969325153374,0.006134969325153374,0.0
18,stellar designation,[4],1,0.0081799591002045,0.0081799591002045,0.0
19,star catalogue,[  4  36 109],3,0.10156782549420586,0.0736196319018405,0.08986069694758173
20,astronomer,[  4   9  29  51  71  92  93  96 132 176 287 309 350 355],14,0.3000292141396436,0.19325153374233128,0.24946292373045162
21,known star,[  4 311],2,0.3220858895705521,0.3220858895705521,0.31390593047034765
22,galaxy,[  5  25  45  87  90  98 132 225 226 228 244 277 284 286 309],15,0.349147920927062,0.4601226993865031,0.20855348972918372
23,sextillion,[  5 227],2,0.23721881390593047,0.23721881390593047,0.22699386503067484
24,milky way,[  5  48  87 213 238],5,0.24171779141104294,0.17791411042944785,0.1875486423522926
25,universe,[  5  98 172 225 252 256 302],7,0.3827052293309962,0.4601226993865031,0.1969462074996491
26,life,[  6   8  11  14 196 308],6,0.18507157464212678,0.02556237218813906,0.2427652085115273
27,out space,[6],1,0.012269938650306749,0.012269938650306749,0.0
28,thermonuclear fusion,[6],1,0.012269938650306749,0.012269938650306749,0.0
29,interior,[  6  83 288 435 446 447 454 458],8,0.6689672801635992,0.9008179959100204,0.3524367047103221
30,portion,[  6 262 263 459],4,0.5061349693251533,0.5368098159509203,0.32895902824382556
31,helium,"[  6   7  14  15  84 129 150 152 170 175 176 188 189 194 197 261 442 477
 482 484]",20,0.4081799591002045,0.3588957055214724,0.3130266857338053
32,core,"[  6  16  19  20  22 129 136 150 152 181 188 189 191 194 210 215 217 246
 259 311 312 332 334 343 344 437 438 440 441 442 443 452 461 472 483]",35,0.5390008764241893,0.5030674846625767,0.30548392022204407
33,star shine,[6],1,0.012269938650306749,0.012269938650306749,0.0
34,energy,[  6  15  16 199 200 333 341 344 345 440 447 448 461 478 479 485],16,0.6437883435582822,0.7044989775051125,0.3462630428899754
35,hydrogen,[  6  14  84 124 127 129 150 171 181 193 197 259 261 308 428 477],16,0.39736707566462165,0.35991820040899797,0.25697772155099147
36,lifetime,[7],1,0.014314928425357873,0.014314928425357873,0.0
37,stellar nucleosynthesis,[7],1,0.014314928425357873,0.014314928425357873,0.0
38,supernova nucleosynthesis,[7],1,0.014314928425357873,0.014314928425357873,0.0
39,element,[  7 175 176 193 305],5,0.3501022494887525,0.35991820040899797,0.19481530451435905
40,end,[  8 196 413],3,0.4205862304021813,0.40081799591002043,0.33840856480363873
41,degenerate matter,[  8 217],2,0.23006134969325154,0.23006134969325154,0.21370143149284254
42,luminosity,"[  9  12  53 116 120 131 142 152 153 249 351 356 358 361 367 368 382 418
 421 423 430 487]",22,0.5446179587283881,0.7229038854805726,0.30637418224233043
43,motion,[  9  29  30 277 278],5,0.25480572597137013,0.06134969325153374,0.25576143529712764
44,mass,"[  9  18  21  73 116 120 132 167 175 184 186 205 261 291 303 311 316 352
 353 354 428 453 454 472 473 483]",26,0.5277646688689633,0.5644171779141104,0.30492822796033664
45,age,[  9  13 256 277 355],5,0.3721881390593047,0.523517382413088,0.2933972422815698
46,metallicity,[  9 176 177 312 313 350],6,0.45569188820722567,0.5,0.23946302470660608
47,chemical composition,[ 9 86],2,0.09713701431492842,0.09713701431492842,0.0787321063394683
48,other property,[9],1,0.018404907975460124,0.018404907975460124,0.0
49,space,[  9 123 156 341 461],5,0.4458077709611452,0.31901840490797545,0.3306666893303167
50,spectrum,[  9  61  85 193 266 318 336 403 413 416],10,0.5112474437627812,0.5971370143149284,0.299216318252716
51,total mass,[ 10 159 161],3,0.2249488752556237,0.32515337423312884,0.14461225359251187
52,main factor,[10],1,0.02044989775051125,0.02044989775051125,0.0
53,eventual fate,[ 10 249],2,0.26482617586912066,0.26482617586912066,0.2443762781186094
54,evolution,[ 10  24 160 175 222 249 277],7,0.32632193981887236,0.35787321063394684,0.19958111551634003
55,change,[11 69],2,0.081799591002045,0.081799591002045,0.05930470347648262
56,other characteristic,[11],1,0.022494887525562373,0.022494887525562373,0.0
57,rotation,[ 11 140 291 297 298 320 322 325 326 327 329],11,0.5551217698456962,0.65439672801636,0.19884996264155197
58,diameter,[ 11 275],2,0.29243353783231085,0.29243353783231085,0.26993865030674846
59,movement,[ 11 284 289],3,0.3980913428766189,0.5807770961145194,0.2656196031283385
60,environment,[ 11 131],2,0.14519427402862986,0.14519427402862986,0.12269938650306748
61,temperature,"[ 11  12  77 135 152 171 184 187 194 333 334 335 346 400 401 402 407 417
 438 465]",20,0.5522494887525563,0.6820040899795501,0.29247034175714454
62,diagram,[12 13],2,0.02556237218813906,0.02556237218813906,0.0010224948875255625
63,plot,[12],1,0.024539877300613498,0.024539877300613498,0.0
64,many star,[ 12  43  48 359],4,0.2361963190184049,0.09304703476482618,0.28887425961962254
65,particular star,[13],1,0.026584867075664622,0.026584867075664622,0.0
66,evolutionary state,[13],1,0.026584867075664622,0.026584867075664622,0.0
67,gaseous nebula,[14],1,0.028629856850715747,0.028629856850715747,0.0
68,trace amount,[14],1,0.028629856850715747,0.028629856850715747,0.0
69,heavy element,[ 14  20  21 124 179 219 220 261 262 263 484],11,0.38427216954824317,0.44785276073619634,0.2733903248721479
70,material,[ 14 223],2,0.24233128834355827,0.24233128834355827,0.21370143149284254
71,gravitational collapse,[ 14 485],2,0.5102249488752556,0.5102249488752556,0.4815950920245399
72,nuclear fusion,[ 15 129 152 311 341 439],6,0.472733469665985,0.4734151329243354,0.29524538647749254
73,stellar core,[15],1,0.03067484662576687,0.03067484662576687,0.0
74,process,[ 15 195],2,0.2147239263803681,0.2147239263803681,0.18404907975460122
75,hydrogen becomes,[15],1,0.03067484662576687,0.03067484662576687,0.0
76,combination,[ 16 141 168 316],4,0.3277096114519427,0.3159509202453988,0.21809782395037833
77,remainder,[16],1,0.032719836400818,0.032719836400818,0.0
78,convective heat transfer process,[16],1,0.032719836400818,0.032719836400818,0.0
79,internal pressure prevents,[17],1,0.034764826175869123,0.034764826175869123,0.0
80,red giant,[ 19 182 185 223 340],5,0.3881390593047035,0.3783231083844581,0.210383236741501
81,hydrogen fuel,[19],1,0.03885480572597137,0.03885480572597137,0.0
82,time,"[ 19  54 162 177 179 183 188 207 275 297 299 301 311 330 344 345 356 371
 375 376 388 389 395 421 458 486 487]",27,0.6190259789441793,0.6748466257668712,0.24325340006480797
83,case,[ 20 216 317 451],4,0.5132924335378323,0.5449897750511248,0.3216262504063753
84,shell,[ 20 181 197 445],4,0.43098159509202455,0.38650306748466257,0.31069840982415003
85,new star,[ 21  37  39  49 213 219],6,0.19700068166325835,0.08997955010224949,0.17388693947923678
86,part,[ 21  25  27 236],4,0.1579754601226994,0.053169734151329244,0.18748427334120918
87,interstellar environment,[21],1,0.04294478527607362,0.04294478527607362,0.0
88,stellar remnant,[22],1,0.044989775051124746,0.044989775051124746,0.0
89,white dwarf,[ 22 171 204 206 317 397 410 427],8,0.5506134969325154,0.5347648261758691,0.27277770135649604
90,neutron star,[ 22 215 217 275],4,0.3726993865030675,0.44171779141104295,0.1955152203262397
91,black hole,[ 22 216 218],3,0.310838445807771,0.44171779141104295,0.18799081323385075
92,multi-star system consist,[23],1,0.04703476482617587,0.04703476482617587,0.0
93,more star,[ 23 230],2,0.25869120654396727,0.25869120654396727,0.2116564417177914
94,stable orbit,[23],1,0.04703476482617587,0.04703476482617587,0.0
95,gravitational interaction,[ 24 147],2,0.17484662576687116,0.17484662576687116,0.12576687116564417
96,such star,[ 24 151 172],3,0.2365371506475801,0.30879345603271985,0.1337068189359627
97,significant impact,[24],1,0.049079754601226995,0.049079754601226995,0.0
98,relatively close orbit,[24],1,0.049079754601226995,0.049079754601226995,0.0
99,gravitationally bound structure,[25],1,0.05112474437627812,0.05112474437627812,0.0
100,star cluster,[ 25  45  89 232],4,0.19989775051124745,0.13701431492842536,0.16542548491871725
101,world,[26 31],2,0.05828220858895705,0.05828220858895705,0.005112474437627812
102,civilization,[26],1,0.053169734151329244,0.053169734151329244,0.0
103,religious practice,[27],1,0.05521472392638037,0.05521472392638037,0.0
104,orientation,[27],1,0.05521472392638037,0.05521472392638037,0.0
105,celestial navigation,[27],1,0.05521472392638037,0.05521472392638037,0.0
106,ancient astronomer,[28],1,0.05725971370143149,0.05725971370143149,0.0
107,convention,[29],1,0.05930470347648262,0.05930470347648262,0.0
108,inferred position,[29],1,0.05930470347648262,0.05930470347648262,0.0
109,planet,[ 29 104 105 308],4,0.2791411042944785,0.21370143149284254,0.2120709612705132
110,agricultural practice,[30],1,0.06134969325153374,0.06134969325153374,0.0
111,background star,[30],1,0.06134969325153374,0.06134969325153374,0.0
112,calendar,[30],1,0.06134969325153374,0.06134969325153374,0.0
113,horizon,[30],1,0.06134969325153374,0.06134969325153374,0.0
114,gregorian calendar,[31],1,0.06339468302658487,0.06339468302658487,0.0
115,local star,[31],1,0.06339468302658487,0.06339468302658487,0.0
116,angle,[31],1,0.06339468302658487,0.06339468302658487,0.0
117,rotational axis relative,[31],1,0.06339468302658487,0.06339468302658487,0.0
118,solar calendar,[31],1,0.06339468302658487,0.06339468302658487,0.0
119,bc,[32 34 35],3,0.06884798909338787,0.06952965235173825,0.0025505503658990736
120,egyptian astronomy,[32],1,0.065439672801636,0.065439672801636,0.0
121,ancient,[32],1,0.065439672801636,0.065439672801636,0.0
122,result,[ 32 140 144 328 447 476 485],7,0.5994741454864154,0.6707566462167689,0.3533792856704365
123,accurately dated star chart,[32],1,0.065439672801636,0.065439672801636,0.0
124,kassite period,[33],1,0.06748466257668712,0.06748466257668712,0.0
125,known star catalogue,[33],1,0.06748466257668712,0.06748466257668712,0.0
126,mesopotamia,[33],1,0.06748466257668712,0.06748466257668712,0.0
127,millennium bc,[33],1,0.06748466257668712,0.06748466257668712,0.0
128,babylonian astronomer,[33],1,0.06748466257668712,0.06748466257668712,0.0
129,greek astronomy,[35 38],2,0.07464212678936605,0.07464212678936605,0.003067484662576687
130,help,[35],1,0.07157464212678936,0.07157464212678936,0.0
131,aristillus,[35],1,0.07157464212678936,0.07157464212678936,0.0
132,first star catalogue,[35],1,0.07157464212678936,0.07157464212678936,0.0
133,timocharis,[35],1,0.07157464212678936,0.07157464212678936,0.0
134,star catalog,[36],1,0.0736196319018405,0.0736196319018405,0.0
135,2nd century bc,[36],1,0.0736196319018405,0.0736196319018405,0.0
136,hipparchus,[36 37 54],3,0.08657123381049762,0.07566462167689161,0.01689094982053697
137,assemble ptolemy,[36],1,0.0736196319018405,0.0736196319018405,0.0
138,discovery,[37 59],2,0.09815950920245399,0.09815950920245399,0.022494887525562373
139,star name,[ 38 111],2,0.1523517382413088,0.1523517382413088,0.07464212678936605
140,many,[ 38 102],2,0.14314928425357873,0.14314928425357873,0.065439672801636
141,use today,[38],1,0.07770961145194274,0.07770961145194274,0.0
142,heaven,[39 49 67],3,0.1056578050443081,0.10020449897750511,0.023692088884775413
143,chinese astronomer,[39 41],2,0.081799591002045,0.081799591002045,0.002044989775051125
144,spite,[ 39 329],2,0.37627811860940696,0.37627811860940696,0.2965235173824131
145,apparent immutability,[39],1,0.07975460122699386,0.07975460122699386,0.0
146,supernova,[ 40  41  42  87 211 212 213 221 427],9,0.3394683026584867,0.43149284253578735,0.24635691160970172
147,ad,[40 48],2,0.08997955010224949,0.08997955010224949,0.0081799591002045
148,sn,[40 41 42],3,0.08384458077709611,0.08384458077709611,0.001669727159361403
149,recorded history,[41],1,0.08384458077709611,0.08384458077709611,0.0
150,stellar event,[41],1,0.08384458077709611,0.08384458077709611,0.0
151,egyptian astronomer ali ibn ridwan,[41],1,0.08384458077709611,0.08384458077709611,0.0
152,birth,[ 42 238],2,0.28629856850715746,0.28629856850715746,0.20040899795501022
153,islamic astronomer,[42],1,0.08588957055214724,0.08588957055214724,0.0
154,crab nebula,[ 42 214 330],3,0.3994546693933197,0.4376278118609407,0.24195108985934852
155,medieval islamic astronomer,[43],1,0.08793456032719836,0.08793456032719836,0.0
156,position,[43 54],2,0.09918200408997956,0.09918200408997956,0.011247443762781187
157,arabic name,[43],1,0.08793456032719836,0.08793456032719836,0.0
158,today,[43],1,0.08793456032719836,0.08793456032719836,0.0
159,astronomical instrument,[43],1,0.08793456032719836,0.08793456032719836,0.0
160,purpose,[44],1,0.08997955010224949,0.08997955010224949,0.0
161,zij star catalogue,[44],1,0.08997955010224949,0.08997955010224949,0.0
